productId,description,UOS,Pack_Description,Hierarchy2,Params,Hierarchy1,price,EAN
15937,ELF CR500 MAN/PCH/ORANGE 2%,10,10,,"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",19 ECIG/VAPE,27.99,6.94E+12
15938,ELF CR500 STRAW ENERGY 2%,10,10,,"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",19 ECIG/VAPE,27.99,6.94E+12
15939,ELF CR500 SOUR APPLE 2%,10,10,,"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",19 ECIG/VAPE,27.99,6.94E+12
15940,ELF CR500 STRAW KIWI 2%,10,10,,"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",19 ECIG/VAPE,27.99,6.94E+12
15941,ELF CR500 WATERMELON LEMON 2%,10,10,,"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",19 ECIG/VAPE,27.99,6.94E+12
15942,ELF CR500 BLUE RAZZ LEMONADE,10,10,,"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",19 ECIG/VAPE,27.99,6.94E+12
15943,ELF CR500 KIWI/PASS/GUAVA 2%,10,10,,"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",19 ECIG/VAPE,27.99,6.94E+12
15967,GEEK BAR KIWI PASSION FRUIT,10,10,,"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",19 ECIG/VAPE,17.49,6.97E+12
15968,GEEK BAR BLUEBERRY COTTON CANDY 2%,10,10,,"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",19 ECIG/VAPE,19.99,6.97E+12
15969,GEEK BAR GUAVA ICE 2%,10,10,,"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",19 ECIG/VAPE,17.49,6.97E+12
15970,GEEK BAR ENERGY ICE,10,10,,"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",19 ECIG/VAPE,17.49,6.97E+12
15971,ELF P&B CLOUDD 2%,10,10,,"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",19 ECIG/VAPE,19.99,6.98E+12
15973,ELF BLUE SOUR RASP 2%,10,10,,"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",19 ECIG/VAPE,19.99,6.98E+12
15974,ELF STRAW KIWI,10,10,,"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",19 ECIG/VAPE,19.99,6.98E+12
16009,ELF BAR LUX 600 COLA,10,10,,"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",19 ECIG/VAPE,27.99,6.94E+12
16010,ELF BAR LUX 600 BLUEBERRY,10,10,,"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",19 ECIG/VAPE,27.99,6.94E+12
16011,ELF BAR LUX 600 WATERMELON,10,10,,"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",19 ECIG/VAPE,27.99,6.94E+12
16012,ELF BAR LUX 600 PINK LEMONADE,10,10,,"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",19 ECIG/VAPE,27.99,6.94E+12
16013,ELF LUX BLUE SOUR RASP,10,10,,"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",19 ECIG/VAPE,19.99,6.94E+12
16014,ELF BAR LUX 600 APPLE PEACH,10,10,,"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",19 ECIG/VAPE,27.99,6.94E+12
16015,ELF BAR LUX 600 BLUE RAZZ LEMONADE,10,10,,"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",19 ECIG/VAPE,27.99,6.94E+12
16033,HEETS MAUVE 20'S,1,,,"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",19 ECIG/VAPE,55.99,5.06E+12
16034,ELF STRAW ENERGY 2%,10,10,,"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",19 ECIG/VAPE,19.99,6.94E+12
16041,ELF BERG 2%,10,10,,"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",19 ECIG/VAPE,19.99,6.98E+12
16086,HEETS TEAK 20'S,1,,,"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",19 ECIG/VAPE,55.99,
16087,HEETS RUSSET 20'S,1,,,"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",19 ECIG/VAPE,55.99,5.06E+12
16243,NORDIC SPIRIT SPEARMINT XSTRONG,5,,,"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",19 ECIG/VAPE,21.99,5.00E+12
16319,ELF T600 BLUE RAZZ LEMONADE,10,10,,"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",19 ECIG/VAPE,27.99,6.94E+12
16320,ELF T600 JUICY PEACH 2%,10,10,,"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",19 ECIG/VAPE,27.99,6.94E+12
16321,ELF T600 MAN/PCH/WMELON 2%,10,10,,"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",19 ECIG/VAPE,27.99,6.94E+12
16322,ELF T600 PINE/PCH/MAN 2%,10,10,,"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",19 ECIG/VAPE,27.99,6.94E+12
16323,ELF T600 STRAW CHEESECAKE 2%,10,10,,"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",19 ECIG/VAPE,27.99,6.94E+12
16324,ELF T600 WMELON LEMON,10,10,,"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",19 ECIG/VAPE,27.99,6.94E+12
16393,NORDIC SPEARMNIT STRONG,5,,,"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",19 ECIG/VAPE,21.99,5.00E+12
